Sdate,Cosit,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flag Text
09/12/2024 13:00,80474,60,1,Eastbound,1,East,0,Checked
09/12/2024 13:00,80474,60,2,Westbound,2,West,0,Checked
09/12/2024 14:00,80474,60,1,Eastbound,1,East,5,Checked
09/12/2024 14:00,80474,60,2,Westbound,2,West,2,Checked
09/12/2024 15:00,80474,60,1,Eastbound,1,East,4,Checked
09/12/2024 15:00,80474,60,2,Westbound,2,West,1,Checked
09/12/2024 16:00,80474,60,1,Eastbound,1,East,8,Checked
09/12/2024 16:00,80474,60,2,Westbound,2,West,2,Checked
09/12/2024 17:00,80474,60,1,Eastbound,1,East,6,Checked
09/12/2024 17:00,80474,60,2,Westbound,2,West,1,Checked
09/12/2024 18:00,80474,60,1,Eastbound,1,East,4,Checked
09/12/2024 18:00,80474,60,2,Westbound,2,West,1,Checked
09/12/2024 19:00,80474,60,1,Eastbound,1,East,2,Checked
09/12/2024 19:00,80474,60,2,Westbound,2,West,1,Checked
09/12/2024 20:00,80474,60,1,Eastbound,1,East,3,Checked
09/12/2024 20:00,80474,60,2,Westbound,2,West,0,Checked
09/12/2024 21:00,80474,60,1,Eastbound,1,East,1,Checked
09/12/2024 21:00,80474,60,2,Westbound,2,West,1,Checked
09/12/2024 22:00,80474,60,1,Eastbound,1,East,0,Checked
09/12/2024 22:00,80474,60,2,Westbound,2,West,1,Checked
09/12/2024 23:00,80474,60,1,Eastbound,1,East,0,Checked
09/12/2024 23:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 00:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 00:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 01:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 02:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 02:00,80474,60,2,Westbound,2,West,1,Checked
10/12/2024 03:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 03:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 04:00,80474,60,1,Eastbound,1,East,3,Checked
10/12/2024 04:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 05:00,80474,60,1,Eastbound,1,East,2,Checked
10/12/2024 05:00,80474,60,2,Westbound,2,West,2,Checked
10/12/2024 06:00,80474,60,1,Eastbound,1,East,2,Checked
10/12/2024 06:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 07:00,80474,60,1,Eastbound,1,East,5,Checked
10/12/2024 07:00,80474,60,2,Westbound,2,West,1,Checked
10/12/2024 08:00,80474,60,1,Eastbound,1,East,4,Checked
10/12/2024 08:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 09:00,80474,60,1,Eastbound,1,East,5,Checked
10/12/2024 09:00,80474,60,2,Westbound,2,West,4,Checked
10/12/2024 10:00,80474,60,1,Eastbound,1,East,3,Checked
10/12/2024 10:00,80474,60,2,Westbound,2,West,2,Checked
10/12/2024 11:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 11:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 12:00,80474,60,1,Eastbound,1,East,1,Checked
10/12/2024 12:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 13:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 13:00,80474,60,2,Westbound,2,West,2,Checked
10/12/2024 14:00,80474,60,1,Eastbound,1,East,3,Checked
10/12/2024 14:00,80474,60,2,Westbound,2,West,1,Checked
10/12/2024 15:00,80474,60,1,Eastbound,1,East,7,Checked
10/12/2024 15:00,80474,60,2,Westbound,2,West,6,Checked
10/12/2024 16:00,80474,60,1,Eastbound,1,East,5,Checked
10/12/2024 16:00,80474,60,2,Westbound,2,West,3,Checked
10/12/2024 17:00,80474,60,1,Eastbound,1,East,4,Checked
10/12/2024 17:00,80474,60,2,Westbound,2,West,1,Checked
10/12/2024 18:00,80474,60,1,Eastbound,1,East,7,Checked
10/12/2024 18:00,80474,60,2,Westbound,2,West,1,Checked
10/12/2024 19:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 19:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 20:00,80474,60,1,Eastbound,1,East,1,Checked
10/12/2024 20:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 21:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 21:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 22:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 22:00,80474,60,2,Westbound,2,West,0,Checked
10/12/2024 23:00,80474,60,1,Eastbound,1,East,0,Checked
10/12/2024 23:00,80474,60,2,Westbound,2,West,1,Checked
11/12/2024 00:00,80474,60,1,Eastbound,1,East,0,Checked
11/12/2024 00:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 01:00,80474,60,1,Eastbound,1,East,0,Checked
11/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 02:00,80474,60,1,Eastbound,1,East,1,Checked
11/12/2024 02:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 03:00,80474,60,1,Eastbound,1,East,1,Checked
11/12/2024 03:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 04:00,80474,60,1,Eastbound,1,East,1,Checked
11/12/2024 04:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 05:00,80474,60,1,Eastbound,1,East,5,Checked
11/12/2024 05:00,80474,60,2,Westbound,2,West,5,Checked
11/12/2024 06:00,80474,60,1,Eastbound,1,East,7,Checked
11/12/2024 06:00,80474,60,2,Westbound,2,West,1,Checked
11/12/2024 07:00,80474,60,1,Eastbound,1,East,6,Checked
11/12/2024 07:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 08:00,80474,60,1,Eastbound,1,East,10,Checked
11/12/2024 08:00,80474,60,2,Westbound,2,West,1,Checked
11/12/2024 09:00,80474,60,1,Eastbound,1,East,1,Checked
11/12/2024 09:00,80474,60,2,Westbound,2,West,2,Checked
11/12/2024 10:00,80474,60,1,Eastbound,1,East,1,Checked
11/12/2024 10:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 11:00,80474,60,1,Eastbound,1,East,5,Checked
11/12/2024 11:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 12:00,80474,60,1,Eastbound,1,East,2,Checked
11/12/2024 12:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 13:00,80474,60,1,Eastbound,1,East,2,Checked
11/12/2024 13:00,80474,60,2,Westbound,2,West,3,Checked
11/12/2024 14:00,80474,60,1,Eastbound,1,East,4,Checked
11/12/2024 14:00,80474,60,2,Westbound,2,West,4,Checked
11/12/2024 15:00,80474,60,1,Eastbound,1,East,0,Checked
11/12/2024 15:00,80474,60,2,Westbound,2,West,4,Checked
11/12/2024 16:00,80474,60,1,Eastbound,1,East,6,Checked
11/12/2024 16:00,80474,60,2,Westbound,2,West,1,Checked
11/12/2024 17:00,80474,60,1,Eastbound,1,East,7,Checked
11/12/2024 17:00,80474,60,2,Westbound,2,West,1,Checked
11/12/2024 18:00,80474,60,1,Eastbound,1,East,0,Checked
11/12/2024 18:00,80474,60,2,Westbound,2,West,1,Checked
11/12/2024 19:00,80474,60,1,Eastbound,1,East,4,Checked
11/12/2024 19:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 20:00,80474,60,1,Eastbound,1,East,2,Checked
11/12/2024 20:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 21:00,80474,60,1,Eastbound,1,East,2,Checked
11/12/2024 21:00,80474,60,2,Westbound,2,West,0,Checked
11/12/2024 22:00,80474,60,1,Eastbound,1,East,3,Checked
11/12/2024 22:00,80474,60,2,Westbound,2,West,1,Checked
11/12/2024 23:00,80474,60,1,Eastbound,1,East,0,Checked
11/12/2024 23:00,80474,60,2,Westbound,2,West,1,Checked
12/12/2024 00:00,80474,60,1,Eastbound,1,East,1,Checked
12/12/2024 00:00,80474,60,2,Westbound,2,West,1,Checked
12/12/2024 01:00,80474,60,1,Eastbound,1,East,0,Checked
12/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 02:00,80474,60,1,Eastbound,1,East,0,Checked
12/12/2024 02:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 03:00,80474,60,1,Eastbound,1,East,0,Checked
12/12/2024 03:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 04:00,80474,60,1,Eastbound,1,East,2,Checked
12/12/2024 04:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 05:00,80474,60,1,Eastbound,1,East,5,Checked
12/12/2024 05:00,80474,60,2,Westbound,2,West,5,Checked
12/12/2024 06:00,80474,60,1,Eastbound,1,East,4,Checked
12/12/2024 06:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 07:00,80474,60,1,Eastbound,1,East,5,Checked
12/12/2024 07:00,80474,60,2,Westbound,2,West,2,Checked
12/12/2024 08:00,80474,60,1,Eastbound,1,East,6,Checked
12/12/2024 08:00,80474,60,2,Westbound,2,West,1,Checked
12/12/2024 09:00,80474,60,1,Eastbound,1,East,6,Checked
12/12/2024 09:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 10:00,80474,60,1,Eastbound,1,East,1,Checked
12/12/2024 10:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 11:00,80474,60,1,Eastbound,1,East,1,Checked
12/12/2024 11:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 12:00,80474,60,1,Eastbound,1,East,1,Checked
12/12/2024 12:00,80474,60,2,Westbound,2,West,4,Checked
12/12/2024 13:00,80474,60,1,Eastbound,1,East,1,Checked
12/12/2024 13:00,80474,60,2,Westbound,2,West,1,Checked
12/12/2024 14:00,80474,60,1,Eastbound,1,East,2,Checked
12/12/2024 14:00,80474,60,2,Westbound,2,West,1,Checked
12/12/2024 15:00,80474,60,1,Eastbound,1,East,4,Checked
12/12/2024 15:00,80474,60,2,Westbound,2,West,1,Checked
12/12/2024 16:00,80474,60,1,Eastbound,1,East,8,Checked
12/12/2024 16:00,80474,60,2,Westbound,2,West,2,Checked
12/12/2024 17:00,80474,60,1,Eastbound,1,East,5,Checked
12/12/2024 17:00,80474,60,2,Westbound,2,West,1,Checked
12/12/2024 18:00,80474,60,1,Eastbound,1,East,4,Checked
12/12/2024 18:00,80474,60,2,Westbound,2,West,1,Checked
12/12/2024 19:00,80474,60,1,Eastbound,1,East,1,Checked
12/12/2024 19:00,80474,60,2,Westbound,2,West,1,Checked
12/12/2024 20:00,80474,60,1,Eastbound,1,East,0,Checked
12/12/2024 20:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 21:00,80474,60,1,Eastbound,1,East,0,Checked
12/12/2024 21:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 22:00,80474,60,1,Eastbound,1,East,1,Checked
12/12/2024 22:00,80474,60,2,Westbound,2,West,0,Checked
12/12/2024 23:00,80474,60,1,Eastbound,1,East,0,Checked
12/12/2024 23:00,80474,60,2,Westbound,2,West,2,Checked
13/12/2024 00:00,80474,60,1,Eastbound,1,East,0,Checked
13/12/2024 00:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 01:00,80474,60,1,Eastbound,1,East,0,Checked
13/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 02:00,80474,60,1,Eastbound,1,East,0,Checked
13/12/2024 02:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 03:00,80474,60,1,Eastbound,1,East,0,Checked
13/12/2024 03:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 04:00,80474,60,1,Eastbound,1,East,2,Checked
13/12/2024 04:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 05:00,80474,60,1,Eastbound,1,East,5,Checked
13/12/2024 05:00,80474,60,2,Westbound,2,West,4,Checked
13/12/2024 06:00,80474,60,1,Eastbound,1,East,3,Checked
13/12/2024 06:00,80474,60,2,Westbound,2,West,1,Checked
13/12/2024 07:00,80474,60,1,Eastbound,1,East,4,Checked
13/12/2024 07:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 08:00,80474,60,1,Eastbound,1,East,8,Checked
13/12/2024 08:00,80474,60,2,Westbound,2,West,1,Checked
13/12/2024 09:00,80474,60,1,Eastbound,1,East,4,Checked
13/12/2024 09:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 10:00,80474,60,1,Eastbound,1,East,0,Checked
13/12/2024 10:00,80474,60,2,Westbound,2,West,1,Checked
13/12/2024 11:00,80474,60,1,Eastbound,1,East,2,Checked
13/12/2024 11:00,80474,60,2,Westbound,2,West,2,Checked
13/12/2024 12:00,80474,60,1,Eastbound,1,East,2,Checked
13/12/2024 12:00,80474,60,2,Westbound,2,West,1,Checked
13/12/2024 13:00,80474,60,1,Eastbound,1,East,1,Checked
13/12/2024 13:00,80474,60,2,Westbound,2,West,1,Checked
13/12/2024 14:00,80474,60,1,Eastbound,1,East,4,Checked
13/12/2024 14:00,80474,60,2,Westbound,2,West,1,Checked
13/12/2024 15:00,80474,60,1,Eastbound,1,East,5,Checked
13/12/2024 15:00,80474,60,2,Westbound,2,West,5,Checked
13/12/2024 16:00,80474,60,1,Eastbound,1,East,4,Checked
13/12/2024 16:00,80474,60,2,Westbound,2,West,1,Checked
13/12/2024 17:00,80474,60,1,Eastbound,1,East,4,Checked
13/12/2024 17:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 18:00,80474,60,1,Eastbound,1,East,5,Checked
13/12/2024 18:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 19:00,80474,60,1,Eastbound,1,East,2,Checked
13/12/2024 19:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 20:00,80474,60,1,Eastbound,1,East,6,Checked
13/12/2024 20:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 21:00,80474,60,1,Eastbound,1,East,0,Checked
13/12/2024 21:00,80474,60,2,Westbound,2,West,0,Checked
13/12/2024 22:00,80474,60,1,Eastbound,1,East,0,Checked
13/12/2024 22:00,80474,60,2,Westbound,2,West,1,Checked
13/12/2024 23:00,80474,60,1,Eastbound,1,East,0,Checked
13/12/2024 23:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 00:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 00:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 01:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 02:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 02:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 03:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 03:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 04:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 04:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 05:00,80474,60,1,Eastbound,1,East,1,Checked
14/12/2024 05:00,80474,60,2,Westbound,2,West,2,Checked
14/12/2024 06:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 06:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 07:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 07:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 08:00,80474,60,1,Eastbound,1,East,1,Checked
14/12/2024 08:00,80474,60,2,Westbound,2,West,4,Checked
14/12/2024 09:00,80474,60,1,Eastbound,1,East,3,Checked
14/12/2024 09:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 10:00,80474,60,1,Eastbound,1,East,2,Checked
14/12/2024 10:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 11:00,80474,60,1,Eastbound,1,East,1,Checked
14/12/2024 11:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 12:00,80474,60,1,Eastbound,1,East,2,Checked
14/12/2024 12:00,80474,60,2,Westbound,2,West,1,Checked
14/12/2024 13:00,80474,60,1,Eastbound,1,East,1,Checked
14/12/2024 13:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 14:00,80474,60,1,Eastbound,1,East,1,Checked
14/12/2024 14:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 15:00,80474,60,1,Eastbound,1,East,4,Checked
14/12/2024 15:00,80474,60,2,Westbound,2,West,2,Checked
14/12/2024 16:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 16:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 17:00,80474,60,1,Eastbound,1,East,1,Checked
14/12/2024 17:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 18:00,80474,60,1,Eastbound,1,East,3,Checked
14/12/2024 18:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 19:00,80474,60,1,Eastbound,1,East,2,Checked
14/12/2024 19:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 20:00,80474,60,1,Eastbound,1,East,3,Checked
14/12/2024 20:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 21:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 21:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 22:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 22:00,80474,60,2,Westbound,2,West,0,Checked
14/12/2024 23:00,80474,60,1,Eastbound,1,East,0,Checked
14/12/2024 23:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 00:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 00:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 01:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 02:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 02:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 03:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 03:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 04:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 04:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 05:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 05:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 06:00,80474,60,1,Eastbound,1,East,2,Checked
15/12/2024 06:00,80474,60,2,Westbound,2,West,2,Checked
15/12/2024 07:00,80474,60,1,Eastbound,1,East,1,Checked
15/12/2024 07:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 08:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 08:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 09:00,80474,60,1,Eastbound,1,East,4,Checked
15/12/2024 09:00,80474,60,2,Westbound,2,West,1,Checked
15/12/2024 10:00,80474,60,1,Eastbound,1,East,1,Checked
15/12/2024 10:00,80474,60,2,Westbound,2,West,1,Checked
15/12/2024 11:00,80474,60,1,Eastbound,1,East,1,Checked
15/12/2024 11:00,80474,60,2,Westbound,2,West,1,Checked
15/12/2024 12:00,80474,60,1,Eastbound,1,East,5,Checked
15/12/2024 12:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 13:00,80474,60,1,Eastbound,1,East,1,Checked
15/12/2024 13:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 14:00,80474,60,1,Eastbound,1,East,1,Checked
15/12/2024 14:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 15:00,80474,60,1,Eastbound,1,East,4,Checked
15/12/2024 15:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 16:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 16:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 17:00,80474,60,1,Eastbound,1,East,1,Checked
15/12/2024 17:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 18:00,80474,60,1,Eastbound,1,East,1,Checked
15/12/2024 18:00,80474,60,2,Westbound,2,West,1,Checked
15/12/2024 19:00,80474,60,1,Eastbound,1,East,2,Checked
15/12/2024 19:00,80474,60,2,Westbound,2,West,4,Checked
15/12/2024 20:00,80474,60,1,Eastbound,1,East,1,Checked
15/12/2024 20:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 21:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 21:00,80474,60,2,Westbound,2,West,0,Checked
15/12/2024 22:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 22:00,80474,60,2,Westbound,2,West,1,Checked
15/12/2024 23:00,80474,60,1,Eastbound,1,East,0,Checked
15/12/2024 23:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 00:00,80474,60,1,Eastbound,1,East,0,Checked
16/12/2024 00:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 01:00,80474,60,1,Eastbound,1,East,0,Checked
16/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 02:00,80474,60,1,Eastbound,1,East,0,Checked
16/12/2024 02:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 03:00,80474,60,1,Eastbound,1,East,0,Checked
16/12/2024 03:00,80474,60,2,Westbound,2,West,1,Checked
16/12/2024 04:00,80474,60,1,Eastbound,1,East,1,Checked
16/12/2024 04:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 05:00,80474,60,1,Eastbound,1,East,1,Checked
16/12/2024 05:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 06:00,80474,60,1,Eastbound,1,East,2,Checked
16/12/2024 06:00,80474,60,2,Westbound,2,West,1,Checked
16/12/2024 07:00,80474,60,1,Eastbound,1,East,4,Checked
16/12/2024 07:00,80474,60,2,Westbound,2,West,1,Checked
16/12/2024 08:00,80474,60,1,Eastbound,1,East,8,Checked
16/12/2024 08:00,80474,60,2,Westbound,2,West,1,Checked
16/12/2024 09:00,80474,60,1,Eastbound,1,East,6,Checked
16/12/2024 09:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 10:00,80474,60,1,Eastbound,1,East,1,Checked
16/12/2024 10:00,80474,60,2,Westbound,2,West,3,Checked
16/12/2024 11:00,80474,60,1,Eastbound,1,East,2,Checked
16/12/2024 11:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 12:00,80474,60,1,Eastbound,1,East,1,Checked
16/12/2024 12:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 13:00,80474,60,1,Eastbound,1,East,2,Checked
16/12/2024 13:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 14:00,80474,60,1,Eastbound,1,East,4,Checked
16/12/2024 14:00,80474,60,2,Westbound,2,West,1,Checked
16/12/2024 15:00,80474,60,1,Eastbound,1,East,3,Checked
16/12/2024 15:00,80474,60,2,Westbound,2,West,7,Checked
16/12/2024 16:00,80474,60,1,Eastbound,1,East,5,Checked
16/12/2024 16:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 17:00,80474,60,1,Eastbound,1,East,9,Checked
16/12/2024 17:00,80474,60,2,Westbound,2,West,3,Checked
16/12/2024 18:00,80474,60,1,Eastbound,1,East,2,Checked
16/12/2024 18:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 19:00,80474,60,1,Eastbound,1,East,2,Checked
16/12/2024 19:00,80474,60,2,Westbound,2,West,1,Checked
16/12/2024 20:00,80474,60,1,Eastbound,1,East,3,Checked
16/12/2024 20:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 21:00,80474,60,1,Eastbound,1,East,0,Checked
16/12/2024 21:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 22:00,80474,60,1,Eastbound,1,East,0,Checked
16/12/2024 22:00,80474,60,2,Westbound,2,West,0,Checked
16/12/2024 23:00,80474,60,1,Eastbound,1,East,0,Checked
16/12/2024 23:00,80474,60,2,Westbound,2,West,0,Checked
17/12/2024 00:00,80474,60,1,Eastbound,1,East,0,Checked
17/12/2024 00:00,80474,60,2,Westbound,2,West,1,Checked
17/12/2024 01:00,80474,60,1,Eastbound,1,East,0,Checked
17/12/2024 01:00,80474,60,2,Westbound,2,West,0,Checked
17/12/2024 02:00,80474,60,1,Eastbound,1,East,0,Checked
17/12/2024 02:00,80474,60,2,Westbound,2,West,0,Checked
17/12/2024 03:00,80474,60,1,Eastbound,1,East,2,Checked
17/12/2024 03:00,80474,60,2,Westbound,2,West,0,Checked
17/12/2024 04:00,80474,60,1,Eastbound,1,East,4,Checked
17/12/2024 04:00,80474,60,2,Westbound,2,West,2,Checked
17/12/2024 05:00,80474,60,1,Eastbound,1,East,1,Checked
17/12/2024 05:00,80474,60,2,Westbound,2,West,0,Checked
17/12/2024 06:00,80474,60,1,Eastbound,1,East,4,Checked
17/12/2024 06:00,80474,60,2,Westbound,2,West,2,Checked
17/12/2024 07:00,80474,60,1,Eastbound,1,East,4,Checked
17/12/2024 07:00,80474,60,2,Westbound,2,West,1,Checked
17/12/2024 08:00,80474,60,1,Eastbound,1,East,7,Checked
17/12/2024 08:00,80474,60,2,Westbound,2,West,4,Checked
17/12/2024 09:00,80474,60,1,Eastbound,1,East,4,Checked
17/12/2024 09:00,80474,60,2,Westbound,2,West,0,Checked
17/12/2024 10:00,80474,60,1,Eastbound,1,East,3,Checked
17/12/2024 10:00,80474,60,2,Westbound,2,West,2,Checked
17/12/2024 11:00,80474,60,1,Eastbound,1,East,1,Checked
17/12/2024 11:00,80474,60,2,Westbound,2,West,1,Checked
17/12/2024 12:00,80474,60,1,Eastbound,1,East,4,Checked
17/12/2024 12:00,80474,60,2,Westbound,2,West,1,Checked
17/12/2024 13:00,80474,60,1,Eastbound,1,East,0,Checked
17/12/2024 13:00,80474,60,2,Westbound,2,West,0,Checked
17/12/2024 14:00,80474,60,1,Eastbound,1,East,2,Checked
17/12/2024 14:00,80474,60,2,Westbound,2,West,4,Checked
17/12/2024 15:00,80474,60,1,Eastbound,1,East,3,Checked
17/12/2024 15:00,80474,60,2,Westbound,2,West,4,Checked
17/12/2024 16:00,80474,60,1,Eastbound,1,East,11,Checked
17/12/2024 16:00,80474,60,2,Westbound,2,West,1,Checked
